msa_sentence,dialect_sentence,dialect,region,split
الان يا سيدى خريجة كلية العلوم قسم الكيمياء الحيوية بتقدير جيد جداً,شوف بقى أنا يا سيدي خريجة كلية العلوم قسم الكيمياء الحيوية بتقدير جيد جدا ً,Syria,LEV,train
أخبرتنى أنه يوجد شيناً ما يمكن أن يتم عمله للشخص عندما يخطب تحميه من السحر و ما إلى ذلك,قالت أنو فيه شي ما بتعرف شو هيه ممكن تصير للشخص لما بيخطب بتحميه من السحر والعين وهالقصص,Syria,LEV,train
انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .,شوف يا أخوي الغلا مو بس باللحمة,Syria,LEV,train
من  المعروف  اننا  رعيه  وعلى الراعى  ان  يوفر  للرعيه  حقوقهم  .,وأنا الي بعرف اننا تحت السؤلية ولازم المسؤل عننا يوفر لنا حقوقنا,Syria,LEV,train
هذا ليس سبب مقنع أختى العزيزه صافى يمكن أن يكون لأنك مازلتى جديدة و عندما تعتادى على الاعضاء لا تستطيعى ان تتركى المنتدى مره اخرى و ستتاكدى من هذا فى المستقبل,هو مو سبب مقنع أختي العزيزة صافي ممكن لانو أنتي لسه جديدة وأول ما رح تتعودي على الأعضاء ما بتعرفي  ما رح تتركي المنتدى ابدا بكرى,Syria,LEV,train
الذي يذهب من دون دخان، ونحن نبحث عنه حولك، والحب النقي الصادق أيضاً,الي طلع من غير دخان .. بندور عليه عندك .....كمان الحب الصافي بندور عليه عندك .....,Syria,LEV,train
نام اخى وحاولت أن أنام,نام أخوي وحاولت أنو أنام,Syria,LEV,train
العظيم لما يمشى من هذا الطريق ، الرب يباركك,الكويس ليش هيك مالو حظ ماشي يا ستي مو مشكله الله يسامحك بقى,Syria,LEV,train
فى حكايتى معاك حاولت انساك,في حكايتي معك حاولت أنساك,Syria,LEV,train
كريستيان دمت ضاحكا ومسرورا,كريستيان ان شاءالله على طول عم تضحكي وفرحانة,Syria,LEV,train
جارى تحميل الروابط,روابط تحميل,Syria,LEV,train
انا وصديق لي ذاهبان لتنفيذ رحلة جوية من مطار شرم الشيخ إلى مطار القاهرة,أنا ورفيقي ونحنا بنعمل رحلة طيران من مطار شرم لمطار القاهرة,Syria,LEV,train
سوف تكون سعيد جدا ً وسوف تغازل وتغازل وتتحدث,رح تنبسط كتير كتير أنت ورح تقعد تلطش وتلطش وتحكي مع بنات,Syria,LEV,train
و أتمنى ان يتحقق كل سنة و ان تكونوا فى صحة جيدة و من يتمنى شىء لتحقيقه الرب يساعده فيها,وبتتمنو يتحقق في كل سنة وأنتو عايشين والي بيتمنى شي من قلبو بيحققها يا رب أي حد ا يجي يشارك,Syria,LEV,train
بلد فاسدة قد أصابها الحقد و أعمى قلوب أهلها,بلد بنت كلب صابها الحقد وعمى قلوب أهلها,Syria,LEV,train
تحياتى,تحياتي,Syria,LEV,train
حتى نصور المكواه والجبن,مشان نصور المكوية والفرش ....,Syria,LEV,train
انهم يعملون عن اولاد العم,هدول عم يشتغلو عند ولاد العم,Syria,LEV,train
و لكن لحظة سيدى هل مازال هناك أشخاص تشترى منك أرضنا,بس لحظه يا أستاذ لسه في ناس بدها تشتري منك أرضنا,Syria,LEV,train
إذا كانت الظروف تسمح بذلك فحسناً ، الاهم افكر بعقلى فى هذا الحب,اذا الظروف بتسمح ببقى مافي مانع المهم أني احكم عقلي في الحب,Syria,LEV,train
وعدم  الاحترام  يبدأ بكلمه ...  وتذهب  الى  ابعد  من  ذلك .,وقلت  الأحترام بيدا بكلمة تجر بعديها بلاوي,Syria,LEV,train
و إضطررت لنقله الى المستوصف وقالوا لى هناك انه تعرض لصدمة عصبية ونفسية,واضطريت أنقله المستوصف وقالولي هونيك أنه انعرض لصدمه عصبة ونفسية,Syria,LEV,train
قد خفف الله عنه,الله رحمه من البهدلة أكتر من هيك,Syria,LEV,train
شكراً لإجابتكم,شكرا لردكم,Syria,LEV,train
السلام عليكم هذه اول مرة اشارك فى شىء و لكن اشعر بانه لا يوجد اى شخص فى الدنيا,السلام عليكم على فكرة هي أول مرة بشارك في أي شي بس حاسه أنو ما في حدا أبدا في الدنيا,Syria,LEV,train
أنا أسف يا جماعة أنا ترشحت لمنحة فى جامعة عين شمس ولكن أنا لست أعرف أين هو بالظبط يا ليت الذى يعرف يبلغنى سريعاً,معلش يا جماعة أنا أترشحت لمنحة في جامعة عين سمش بس أنا مو عارفة هو فين بالضبط ياريت الي يعرف يقولي بسرعة,Syria,LEV,train
أما بعد,وبعدين,Syria,LEV,train
لن  تستطيع . يا لحظك  .  من  اليوم  يستطيع ان  يحدثك بي.... احلى مصريه  بنت,مو رح تقدر يا سلام على هالحظ من قدك  في أحلى بنت مصرية بنت حلوة كتير كتير,Syria,LEV,train
الدموع تغسل النفوس والخطايا,سل الروح والدموع بتغسل الروح والغلطات ....,Syria,LEV,train
حتى فى الخير لكن كل انسان ينبغى ان يتصرف بحسن نية حتى يجازيه الله خيراً و واثق ايضاً ان الله حافظا اياك بغض النظر عن ما يحدث,حتى في الطيبة بس كل أنسان المهم يتعامل بنية الخير حتى يجزيه الله عليها واكيد الله رح يحفظ كل شخص نيته خير مهما صار,Syria,LEV,train
لماذا يا وائل شعبنا طيب و عظيم ولكن,ليش يا وائل هيك شعبنا طيب ورائع بس ..... وهوه هيك,Syria,LEV,train
على  من  تقول  انه يخاف .  انا ؟؟,مين هاد الي بيخاف . أنا ؟؟؟؟؟,Syria,LEV,train
واحبب ما شئت فانك مفارقه ..,حب مين ما بدك رح تفارقو بلأخر,Syria,LEV,train
و فعلا هذه هى لذه الحرام و ايضا من الممكن ان تجد كل شئ حرام,وفعلا هي لذة الحرام وفعلا ممكن نلاقي لأي شغلة حرام,Syria,LEV,train
اتعلم  ان  بقاله  سيدى  بشر  من  اكثر  الاماكن التى  كويت  بنار  الاشعات .,سيدي بشر أكتر محل أكل طلع عليه أشاعت في كل الدنيا,Syria,LEV,train
اذا كان بيننا شكر يا عزيزتى,ولو ما في بيننا هيك شي يا عسولة,Syria,LEV,train
وهذا من الممكن حدوثه لخصوبه الارض .,وفعلا بيصير لأنو الارض خصبة,Syria,LEV,train
وللمشاكل الكبرى بسبب أن التوازن والوسطية ضروريان,والمشاكل كبيرة كتير مشان هيك لازم انو الواحد يكون معتدل والمتوسط,Syria,LEV,train
رجل بخيل جداً قال لأولاده يا أولاد من يريد ان يتعشى,واحد بخيل كتير قال لأولادو يلا يا ولاد مين بدو يتعشى,Syria,LEV,train
و بالنسبه الى البنات اليس كافيا و لكن يا ليت تاخذوا معكم اجهزه حمايه و خصوصا الصاعق لان زجاجه البخاج غير جيده,وبالنسبة للبنات أنا بعرف أنه مو كفاية بس ياريت تشيلوا معكم أجهزة حماية وبالذات الصاعق مشان البخاخة هي متل قلتها,Syria,LEV,train
و أيضا ً هو الذى يزرع البطاطس ويبيع الطن بأكثر من ألف و أكثر أيضا ً,وهو الي زرع بطاطا وبيبع الطن بأكتر من الف وغيره وغيره,Syria,LEV,train
إيمان العالم جميل,أيمان  الدنيا حلوة,Syria,LEV,train
عندى غدا انتظره,ولا عندي بكره استناه,Syria,LEV,train
مات كشهيد,هو مات شهيد,Syria,LEV,train
يقول شخص عصبي لزوجته,واحد عصبي عم يقول لمرته .......,Syria,LEV,train
هذا هو التطور الطبيعى للنشأة التاريخية المتضخمة,هاد هو  التطور الطبيعي للمنشأة التاريخية المتضحمة,Syria,LEV,train
إذا كان الاخر قريب منى و عزيز عليا من الممكن ان افضله على مصلحتى الشخصية,لو غير هي حدا قريب مني وعزيز علي ممكن أعطيه على حسابي أنا شخصيا,Syria,LEV,train
لكن إذا فى إستطاعتنا ، لماذا لا نعطيه دروس خاصة ؟ .. جميع اصدقائة قد سجلوا .. سيكون هو الوحيد فى وسط أصدقائة الذى لا يأخذ دروس,طيب مادام نحنا بنقدر ما نعطيه دروس  ..... هدول رفقاته كلهم حجزوا ...... رح يبقى هو لوحده  في وسط رفقاته الي ما بتاخد دروس,Syria,LEV,train
قالت لى هل تعرفى هذا ماضى مر منذ كام سنة,قالتلي هي بتعرف هاد الماضي ومضي من كم سنة,Syria,LEV,train
نعم  نحن من  ندفعهم على  عمل  مثل هذه الاشياء .  والاستهزاء  بالدين الاسلامى .  لاننا  من  نشاهد  هذة الاشياء,اي فعلا نحنا الي بنخليهم يعملو هالشغلات هاد كلو والاستهزاء بالدين الأسلامي لاننا بنشوف الشغلات هي,Syria,LEV,train
اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه,اي أكيد طبعا علاء كان أحق بس لو أنت متابع طابة كنت عرفت أنه مصاب وأصابة قوية كتير ورح يقعد شهر واكيد مستواه رح ينزل يا كابتن,Syria,LEV,train
هبهههوب,هبههههههههههههههههههههههوب,Syria,LEV,train
ما هو أكثر شئ يؤلمك وأثر على حياتك ؟,يا ترى شو أكتر شي دايقك واثر في حياتك كتير,Syria,LEV,train
و لكن التوفيق لم يكن معه,لكن التوفيق ما كان في صالحو,Syria,LEV,train
ولا تفهم هيا غادر من هذا المكان,وتفهم لما بتفرجينا عرض كتافك يعني ....,Syria,LEV,train
هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!,ما حدا بدو يكسب فيها ثواب ويخطفي أنا كمان !!!!!,Syria,LEV,train
صاحب الملحمة المشهورة,صاحب الملحمة المشهورة,Syria,LEV,train
تحياتى فى إنتظارك,تحياتي عم استناك,Syria,LEV,train
شكرا كثيرا سيد شامى سانزله و هذا على مقدار مصدقيتك عندى,شكرا كتير كتير استاذ شامي رح شيلو على ضمانتك,Syria,LEV,train
