msa_sentence,dialect_sentence,split,dialect,region
ولما سمعت عائلة يسوع عن مجيئه، جاءوا ليأخذوه معهم، لأن الناس كانوا يقولون إنه مجنون!,ووقتلي سمعوا أقاربو جاو باش يهزوه على خاطر الناس قالوا: «خرج من عقلو.»,train,Tunis,MGR
أقول الحق لك، إنك لن تخرج من هناك إلى أن تسد آخر فلس عليك. الزنى,نقلك الحق: ماكش باش تخرج من غادي حتى لين تخلص آخر مليم.» الزنى,train,Tunis,MGR
لذلك أقول لكم إنه كل من يطلق زوجته، إلا إذا زنت، ويتزوج بأخرى يرتكب الزنى.»,وآنا نقلكم: أي واحد يطلق مرتو بسبب حاجة أخرى غير الزنى وعرس بمرا أخرى راهو قاعد يزنى.»,train,Tunis,MGR
إنه ليس موجودا هنا، فقد قام من الموت كما سبق وقال. تعاليا وانظرا المكان الذي كان فيه،,هو موش هنا، راهو قام كيف ما قال. إيجاو وشوفوا البقعة الي كان محطوط فيها.,train,Tunis,MGR
أقول الحق لكم، في يوم الدينونة، سيكون لأهل سدوم وعمورة حال أكثر احتمالا مما لتلك المدينة. يسوع يحذر من الضيقات,نقلكم الحق: راهي حالة مدينة سدوم وعمورة يوم الحساب باش تكون خير من حالة المدينة هاذيكا!» الإضطهاد الي باش ياقع ( مرقس ‏13‏:‏9‏-13 ؛ لوقا ‏21‏:‏12‏-17 ),train,Tunis,MGR
لكنه لم يعرفها حتى ولدت الطفل الذي سماه «يسوع.»,آما ما رقدش معاها حتى لين جابت الطفل، وسماه يسوع.,train,Tunis,MGR
وكان يعلن ويقول: «سيأتي بعدي رجل أعظم مني، وأنا لست مستحقا أن أنحني وأحل رباط حذائه.,وكان يبشر ويقول: «باش يجي الي هو أقوى مني وما نستحقش باش نهبط ونحلو خيوط صندالو.,train,Tunis,MGR
«أقول الحق لكم، إن كل ما تربطونه على الأرض يكون مربوطا في السماء. وكل ما تحلونه على الأرض يكون محلولا في السماء.,نقلكم الحق: الشيء الي تربطوه في الأرض باش يتربط في السماء والشيء الي تحلوه في الأرض باش يتحل في السماء.,train,Tunis,MGR
فقال لهم بيلاطس: «خذوا حراسا من الجند، واذهبوا وتأكدوا من كل شيء بمعرفتكم.»,قاللهم بيلاطس: «عندكم حرس، إمشيو وعسوا عليه كيف ما تحبوا.»,train,Tunis,MGR
وجاء الفريسيون والصدوقيون إلى يسوع ليمتحنوه، فطلبوا إليه أن يعطيهم برهانا على تأييد الله له.,وجاو الفريسيين والصدوقيين باش يجربوا يسوع، وطلبوا منو باش يوريهم معجزة مالسماء.,train,Tunis,MGR
وكان في المجمع رجل فيه روح نجس. فصرخ الروح:,وكان ثمة في المجمع راجل ساكنو روح منزوس صاح,train,Tunis,MGR
«ويل لكم أيها الفريسيون ومعلمو الشريعة المراءون! لأنكم تسافرون عبر البحر والبر لتكسبوا تابعا واحدا لكم. وعندما يصبح كذلك، تجعلونه يستحق جهنم ضعف ما تستحقون أنتم.,يا ويلكم يا الكتاب متاع اليهود ويا الفريسيين المنافقين! تشقوا البر والبحر باش ادخلوا واحد لدينكم، وكيدخل، تردوه مستاهل جهنم قدكم مرتين!,train,Tunis,MGR
«احذروا من الأنبياء الكذبة الذين يأتون إليكم في صورة خراف وديعة، ولكنهم في الداخل ذئاب مفترسة.,«ردوا بالكم مالأنبياء الكذابين، يجوكم لابسين لبسة العلالش وهوما من داخل ذيوبة ما ترحمش.,train,Tunis,MGR
حدث هذا ليتم ما قاله الله على لسان النبي إشعياء:,والشيء هاذا وقع باش يتم الي قالو النبي إشعياء:,train,Tunis,MGR
